1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
73.245,84.946,73.056,62.906,69.89,76.303,59.773,74.298,60.867,95,70.063,80.986,79.106,79.058,79.844,70.962,53.002,84.911,74.074,77.53,83.879,70.034,72.924,95,52.216,82.112,69.999,75.094,62.134,78,79.716,74.054,77.638,85,79.004,94.115,90.361,79.111,81.194,82.009,79.011,88.827,90.619,82.188,84.96924347,61.255,82.032,82.863,94.774,84.184,48.968,78.154,80.096,92.394,81,90.128,75,76.045,94,73.81,70.905
70.789,85.124,72.282,63.967,71.057,83.406,62.557,70.953,62.145,95,69.74,81.034,78.029,78.751,81.072,71.085,52.995,86.012,73.17,71.833,85.029,69.869,73.321,95,49.83,81,70.002,73.985,60.942,78,83.035,73.764,81.233,85,78.991,92.931,86.747,77.999,79.159,81.982,78.975,90.645,94.389,80.013,85.18488508,58.743,82.27,84.025,86.371,82.32,49.043,76.096,78.973,88.153,81,88.793,75,75.579,94,75.816,72.052
68.941,84.467,74.07,63.076,70.946,83.452,56.789,71.968,61.583,95,69.243,80.8,78.998,78.293,78.873,70.684,53.011,86.04,74.956,73.221,83.748,69.173,74.714,95,50.063,82.278,69.995,72.922,62.318,78,84.23,73.071,81.876,85,79.021,91.87,87.923,79.002,77.772,82.043,79.093,91.903,93.103,80.784,86.05265508,59.39,79.196,81.976,87.403,82.089,47.77,76.771,78.991,92.715,80.999,88.06,75,75.333,94,77.3,72.164
69.597,83.652,73.862,62.954,71.063,82.036,56.365,72.186,59.935,95,69.943,79.989,77.344,80.26,78.687,70.509,52.975,85.725,75.025,72.608,82.992,68.686,74.008,95,50.176,82.987,70.011,72.032,62.859,78,85.521,72.72,82.164,85,78.954,90.749,94.043,78.708,76.489,81.777,79.815,93.038,89.928,79.236,85.688107,59.582,80.04,81.335,88.117,83.365,44.289,76.508,79.2,92.825,81.002,87.477,75,75.144,94,78.765,73.009
72.04,85.978,74.706,63.227,70.757,82.093,57.972,72.904,60.563,95,70.325,80.181,74.957,81.054,80.667,71.33,53.056,85.433,74.796,72.309,83.011,68.342,74.036,95,51.179,83.016,69.977,71.801,63.342,78,82.729,72.002,81.344,84.999,79.112,89.974,92.229,77.23,75.617,81.132,81.88,93.737,91.211,80.172,85.06661096,59.438,79.946,82.713,89.022,84.133,42.648,77.93,79.983,92.085,80.995,87.173,75,75.051,94,79.888,72.981
71.428,85.812,76.073,63.944,70.203,81.602,64.59,71.725,61.831,95,71.084,81.063,75.271,80.967,80.389,68.651,52.865,86.879,74.008,70.69,82.993,68.565,73.694,95,50.211,82.953,70.055,71.012,61.293,78,82.195,71.944,80.646,85.002,78.3,90.177,86.765,78.125,75.098,82.199,85.007,94.002,94.601,81.059,84.57938168,59.36,80.243,82.117,89.292,83.284,44.934,76.118,80.016,93.227,81.011,87.018,75,75.007,94,80.695,73.021
69.543,84.338,75.96,64.249,71.043,81.722,61.153,70.958,60.529,95,70.655,80.594,76.077,81.035,80.519,73.285,53.758,85.741,74.014,70.599,83.008,68.986,72.867,95,49.378,83.343,69.648,70.996,60.702,78,82.867,72.377,82.102,84.996,76.934,91.42,88.877,77.201,75.026,83.084,83.284,93.868,94.777,80.933,84.38341742,58.096,81.475,83.249,89.959,83.594,53.123,74.068,79.953,90.587,80.974,87.071,75,75.007,94.005,81.106,72.958
68.905,82.536,76.024,65.072,70.654,82.745,58.919,71.016,59.987,95,69.92,80.311,75.621,80.71,80.788,79.386,54.71,84.912,73.974,74.312,82.986,71.193,73.461,95,50.034,83.64,69.14,71.018,63.551,78,81.485,72.959,81.951,85.06,77.017,92.063,89.489,74.889,75.357,82.825,81.076,93.537,93.516,80.996,84.60105305,60.325,84.105,84.099,87.977,84.047,46.818,74.148,80.114,89.71,81.064,87.827,75,75.167,94.109,81.379,73.314
69.451,81.905,75.974,64.658,69.947,81.912,58.938,71.003,59.987,95,70.404,81.059,75.015,79.293,81.313,NaN,53.965,85.347,74.062,73.352,83.031,70.779,73.536,95,50.462,78.856,70.586,70.951,61.836,77.999,81.349,73.536,82.254,85.431,77.324,91.928,89.417,75.29,75.961,83.83,80.635,93.087,92.943,79.011,83.99964977,60.049,84.084,83.633,87.45,81.612,40.18,75.848,79.509,92.583,80.579,89.257,75,75.526,94.327,81.619,74.119
70.005,82.82,76.05,64.07,70.058,82.056,59.936,70.973,60.349,95,71.13,80.965,74.901,79.516,80.361,77.575,53.578,86.081,73.488,73.076,82.927,71.95,73.461,95,51.071,74.992,70.22,71.335,62.03,78.001,81.976,73.573,83.821,86.001,78.717,92.501,90.425,76.346,76.682,84.229,80.055,92.613,93.037,78.998,83.47030459,58.905,82.887,82.964,87.974,82.505,44.636,74.599,79.842,90.741,79.942,90.998,75,75.997,94.588,81.805,73.787
70.459,84.807,75.496,65.99,69.898,81.937,62.305,71.367,61.678,95,70.428,81.032,75.996,79.589,80.972,72.266,52.821,85.86,72.972,72.433,83.174,72.177,73.713,95,50.976,76.097,68.203,72.068,63.413,77.997,82.16,72.897,82.475,86.568,78.395,93.07,90.225,77.682,77.379,82.849,79.233,92.199,92.949,81.066,83.44595191,58.382,82.57,83.037,89.14,83.004,46.73,75.09,80.684,91.248,80.024,92.748,75,76.515,94.827,81.935,75.2
71.111,84.028,74.193,66.616,70.592,82.125,60.425,72.643,61.469,95,70.438,80.945,77.109,78.877,82.016,69.651,53.654,86.671,72.952,72.548,81.859,70.673,72.337,95,50.996,78.512,68.615,71.908,63.343,78.007,80.479,73.074,81.397,86.943,79.186,92.943,87.63,77.548,77.889,83.063,77.745,91.923,93.094,81.58,84.04963607,58.552,81.154,82.938,90.091,82.146,46.134,78.459,79.766,90.572,79.99,94.165,75,77,95,81.995,74.338
70.478,82.844,74.019,65.873,70.48,80.832,58.887,72.988,60.892,95,71.106,81.563,76.975,79.686,82.62,70.186,52.935,85.935,73.596,72.453,82.093,72.783,71.991,95,51.026,79.121,68.411,72.544,63.69,77.884,78.899,72.331,82.133,86.96,80.231,93.573,88.993,76.894,78.173,82.974,79.353,91.733,91.664,84.261,84.61719057,59.118,81.512,83.501,90.63,82.808,45.948,75.815,80.699,95,80.003,95,75,77.487,94.983,82,73.413
69.187,83.125,73.351,66.547,70.535,79.894,58.99,73.084,61.669,95,70.419,82.101,76.965,80.045,81.921,69.264,51.287,86.027,73.438,71.883,82.5,74.207,71.986,95,50.283,76.801,67.921,72.967,64.089,77.375,78.458,71.956,81.956,86.671,78.609,94.773,90.352,77.599,78.419,83.012,81.85,91.572,91.61,84.874,85.06600752,58.233,83.568,84.058,90.377,81.109,46.073,74.581,79.806,90.492,80,94.655,75,78.038,94.857,82,74.156
69.53,81.675,72.93,67.205,70.446,80.012,59.696,71.651,62.067,95,69.209,81.32,77.684,79.949,81.97,69.689,49.543,86.722,72.871,72.763,82.406,73.263,72.038,95,50.743,75.842,68.027,73.966,62.997,76.632,78.557,72.012,82.006,86.213,78.65,95,85.917,78.656,78.639,82.992,80.978,91.424,91.301,81.729,84.95936067,58.006,83.28,83.973,89.076,79.891,45.726,73.899,80.159,89.875,79.998,93.122,75,78.612,94.652,82,73.927
