ID,injury,raw ,sig
1,0,-17.46677,2.60E-08
1,0,-10.307126,3.34E-05
1,0,-13.487208,1.39E-06
1,0,-13.747633,1.07E-06
1,0,-4.2545686,0.01400042
1,0,-14.553172,4.78E-07
1,0,-14.413395,5.50E-07
1,0,-21.967014,2.88E-10
1,0,-13.199459,1.85E-06
1,0,-12.4134445,4.06E-06
1,0,-2.7190304,0.061859711
2,1,-0.30713907,0.423813213
2,1,4.481352,0.988808565
2,1,-1.0789206,0.253710337
2,1,4.695635,0.990947629
2,1,3.2239788,0.961726737
2,1,5.823371,0.997051104
2,1,7.936782,0.999642773
2,1,7.9065332,0.999631806
2,1,-0.47498187,0.383437782
2,1,-2.653157,0.065794696
2,1,-5.5142756,0.004012678
2,1,-8.761403,0.00015664
2,1,-12.2399,4.83E-06
2,1,-12.609834,3.34E-06
2,1,-16.865158,4.74E-08
2,1,-9.133086,0.00010802
2,1,-7.2253933,0.000727337
2,1,-6.3014,0.001830379
2,1,-1.4855027,0.184597707
2,1,-2.161823,0.103231565
2,1,-3.367275,0.033334005
2,1,-7.13898,0.000792932
2,1,-3.78474,0.022210267
2,1,-13.689083,1.13E-06
2,1,-4.1279163,0.015860806
2,1,-5.819289,0.002960923
2,1,-4.323112,0.013085069
2,1,-1.3700806,0.202606825
2,1,-4.3589487,0.012630264
2,1,-0.9268665,0.283560866
2,1,6.1232557,0.997813481
2,1,7.61128,0.999505407
2,1,11.58192,0.999990667
2,1,-4.2531013,0.01402069
2,1,-9.315928,9.00E-05
2,1,-10.791801,2.06E-05
2,1,-11.755042,7.85E-06
2,1,-7.127271,0.000802263
2,1,-7.111004,0.00081541
2,1,-2.1057472,0.108539477
2,1,-2.9873948,0.047998594
2,1,-1.8979429,0.130341475
2,1,-4.8794255,0.007544035
2,1,-3.5919127,0.026807174
2,1,-7.5330787,0.000534802
2,1,3.349403,0.966085281
2,1,-1.8870248,0.131584072
2,1,1.9187173,0.871995328
2,1,-0.726729,0.325912936
2,1,-3.423911,0.031556486
2,1,4.224742,0.985581817
2,1,4.5902205,0.98995138
2,1,-2.4889176,0.076638759
2,1,-4.0608945,0.016941632
2,1,-10.114943,4.05E-05
2,1,-9.700875,6.12E-05
2,1,-4.6623936,0.009355479
2,1,-6.6119623,0.001342387
2,1,-3.9813993,0.018317711
2,1,0.8609557,0.702860289
2,1,-3.1132329,0.042564699
2,1,-2.276866,0.093057118
2,1,-1.6784409,0.15730203
2,1,-1.1842357,0.234291461
